timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1621811593909,3039,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-5,text,true,,129111,2555,8,8,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,2903,0,346
1621811592913,5837,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-4,text,true,,129111,2555,8,8,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,5786,0,1342
1621811590303,8449,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-1,text,true,,129111,2555,8,8,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,8392,0,3952
1621811591898,7252,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-3,text,true,,129111,2555,7,7,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,7202,0,2356
1621811596913,3345,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-8,text,true,,129119,2555,7,7,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,3284,0,95
1621811590910,9354,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-2,text,true,,129111,2555,6,6,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,9293,0,3345
1621811594911,5435,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-6,text,true,,129111,2555,5,5,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,5384,0,90
1621811595913,4573,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-7,text,true,,129119,2555,4,4,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,4487,0,102
1621811597910,2945,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-9,text,true,,129119,2555,3,3,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,2890,0,85
1621811598910,2545,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-10,text,true,,129111,2555,3,3,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,2487,0,93
1621811599912,1687,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-11,text,true,,129119,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1603,0,90
1621811600896,1197,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-12,text,true,,129111,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1112,0,97
1621811601895,965,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-13,text,true,,129111,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,906,0,85
1621811602878,883,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-14,text,true,,129111,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,829,0,88
1621811603887,880,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-15,text,true,,129111,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,825,0,79
1621811604897,859,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-16,text,true,,129111,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,807,0,81
1621811605865,907,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-17,text,true,,129111,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,842,0,85
1621811606853,947,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-18,text,true,,129111,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,850,0,85
1621811607856,808,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-19,text,true,,129111,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,758,0,73
1621811608844,836,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-20,text,true,,129111,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,773,0,78
1621811609873,890,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-21,text,true,,129111,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,833,0,87
1621811610848,901,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-22,text,true,,129111,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,844,0,76
1621811611866,897,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-23,text,true,,129111,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,836,0,84
1621811612836,825,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-24,text,true,,129111,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,769,0,75
1621811613843,901,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-25,text,true,,129111,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,847,0,75
1621811614854,904,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-26,text,true,,129119,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,848,0,78
1621811615867,898,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-27,text,true,,129111,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,838,0,78
1621811616865,930,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-28,text,true,,129111,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,845,0,79
1621811617838,927,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-29,text,true,,129111,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,868,0,92
1621811618866,893,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-30,text,true,,129111,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,837,0,72
1621811619864,906,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-31,text,true,,129111,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,847,0,91
1621811620863,907,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-32,text,true,,129110,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,849,0,83
1621811621835,833,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-33,text,true,,129111,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,774,0,78
1621811622862,904,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-34,text,true,,129111,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,847,0,77
1621811623834,854,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-35,text,true,,129111,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,786,0,77
1621811624859,1408,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-36,text,true,,129111,2555,2,2,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,1348,0,88
1621811625832,1034,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-37,text,true,,129111,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,975,0,82
1621811626915,850,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-38,text,true,,129111,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,795,0,74
1621811627926,929,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-39,text,true,,129111,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,871,0,77
1621811628913,994,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-40,text,true,,129111,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,910,0,92
1621811629911,914,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-41,text,true,,129119,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,851,0,89
1621811630913,875,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-42,text,true,,129111,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,814,0,81
1621811631923,934,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-43,text,true,,129119,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,881,0,159
1621811632920,846,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-44,text,true,,129111,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,789,0,72
1621811633914,849,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-45,text,true,,129111,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,793,0,72
1621811634913,860,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-46,text,true,,129111,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,800,0,77
1621811635897,864,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-47,text,true,,129119,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,812,0,70
1621811636896,995,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-48,text,true,,129111,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,911,0,114
1621811637895,877,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-49,text,true,,129111,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,819,0,100
1621811638896,896,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-50,text,true,,129111,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,812,0,75
1621811639897,897,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-51,text,true,,129110,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,813,0,84
1621811640897,869,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-52,text,true,,129110,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,811,0,81
1621811641895,960,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-53,text,true,,129110,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,901,0,80
1621811642895,963,api/rdt/applicants?page=1&per_page=50&sort_by=registration_at&sort_order=desc&status=approved,200,OK,Thread Group 1-54,text,true,,129110,2555,1,1,https://api.tesmasif.pikobar.jabarprov.go.id/api/rdt/applicants?per_page=50&page=1&sort_by=registration_at&sort_order=desc&status=approved,908,0,86
